,detail
1305,"Immer mehr Menschen nutzen die Hafenanlage als Freizeitort. Die Abfalleimer sind oft überfüllt. Wäre es möglich, mehr Abfalleimer aufzustellen? Oder die bestehenden Abfalleimer häufiger zu leeren? Vielen Dank für Ihren Einsatz!"
1309,Der Karton wurde bei der Kartonsammlung vom 12.06.1013 nicht abgeholt. Die Kehrrichtsammler vom 13.06.2013 liessen den Katon ebenfalls liegen. 
1315,Nach Unwetter karton der Kartonsammlung überall verstreut.
1327,"Am Wegrand liegt eine defekte ""IKEA-Katzen-Fitnessgerät"" und auf der anderen Seite einen Katzenkorb und etwas weiter hinten noch eine Mikrowelle."
1329,Altmetallbehälter ist bis zum Rand voll
1331,"Friesenbergstrasse 10-40, zwischen Goldbrunnenplatz und Talwiesenstrasse ist auf der Seite der geraden Hausnummern die Friesenbergstrasse stets sehr schmutzig. "
1333,Illegal entsorgter Grill.
1334,Illegal entsorgter Grill.
1336,Illegale flaschen deponie
1340,Seit über einer Woche steht ein alter Staubsauger bei der Türe an der Roggenstrasse 6. Besten Dank für die Entsorgung.
1342,"Abfallkübel übervoll! Zürich 7, Oetlisbergstrasse, Feuerstelle direkt beim Waldrand"
1345,Zu viele parkierte Velos
1350,Altes Stepper-Fitnessgerät seit ca. einem Jahr im Gebüsch
1351,Bei unserem betriebskehrichtkontainer wird immer wieder abfall (nachbarschaft) in schwarzen abfallsäcken abgeladen. nachts kommen tiere und verteilen den abfall über die strasse.
1356,Sperrmüll seit einer Woche auf dem Trottoir.
1358,"Genau im Bereich des Velostreifens vor dem Fussgängerstreifen in der Kurve Zurlindenstrasse -Gotthelfstrasse liegen viele (weisse) Glasscherben. Gestern Mittwoch noch sehr kompakt, heute etwas verstreut."
1368,Container wurde von gestern auf heute erneut verschmiert. Der Container wurde erst gerade ersetzt wegen Graffitis...
1374,Container des ERZ versprayt
1375,Container des ERZ versprayt
1376,Container des ERZ versprayt
1377,"Grüezi, <br/>  <br/> Beim Hafen Tiefenbrunnen sieht es nach jedem schönen Tag so aus... Der Abfall wird dann z.T. vom Wind in den See gestossen. Bin einmal pro Woche am Müll sammeln unterwasser beim tauchen, und wir haben bereits mehr als genug zu tun... <br/>  <br/> Besten Dank im Voraus für die prompte Behebung des Problems und freundliche Grüsse <br/>  <br/> PS. Die Polizei sollte eine ID pro Party Gruppe aufnehmen, damit dies nicht mehr passieren kann."
1378,"Am neugestalteten Fischerweg linksufrig und beginnend ab Hönggerwehr liegt momentan sehr viel Abfall herum. Der Abfall liegt zwar im und um die aufgestellten Kübel, diese werden nicht (häufig genug) geleert. Bitte mal nachsehen, ob das mit dem Bautermin und der Sperrung zu tun hat. Es sind mehrere Orte betroffen. Mit Gruss u Dank "
1392,Es sind momentan Wasserleitungsarbeiten (Erneuerung) in der Titlisstrasse im Gange. Seit ein paar Tagen steht hier eine Gasflasche auf dem Parkplatz zwischen Garage und Hauseingang. Dieser Gasbehälter scheint von Dritten dort willkürlich hingestellt worden zu sein. 
1399,Container liegt am Boden. Kein Haus in der nähe
1405,Spielplatz sieht aus wie Mülldeponie
1407,Abfall auf Trottoir
1412,"Ölspur auf der Kreuzstrasse, recht grossflächig über hundert Metern auf beiden Fahrspuren"
